ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default
1,simple,7787676996869,Luminária De Mesa Flexível Escritório Leitura Touch 20 Leds,1,0,visible,,"<h1>Luminária De Mesa Flexível Escritório Leitura Touch 20 Leds</h1>

ENVIO IMEDIATO APOS A COMPRA, TODOS NOSSOS PRODUTOS SAO COM NOTA FISCAL.Luminária Touch De Mesa Usb 3 Cores 20 Leds Leitura EstudoCor da base: BrancoCor do abajur: BrancoLuminária com botão Touch recarregável com autonomia de até 6 horas, acompanha cabo para recarregar. A Luminária Touch de mesa conta com uma proteção que fica a frente dos leds para não prejudicar a vista e mantendo sua qualidade.Características:Material: plástico reforçado Leds: 20FlexívelBateria RecarregávelTouchTem 3 tipos de luz: natural, média, forteDimensões aproximadas:Altura: 30cmCircunferência: 9cmDiâmetro da base: 12cmAltura da base: 2,5cmConteúdo da Embalagem:1 Luminária bateria1 Cabo usbGarantia do vendedor: 3 meses",,,none,,1,,,no,yes,,,,,no,,39,39,,,,,,,,,,,,,,,
2,simple,6769668879897,Luminária De Led Sobrepor Redonda 31w Moderna 3 Em 1 Bivolt,1,0,visible,,"<h1>Luminária De Led Sobrepor Redonda 31w Moderna 3 Em 1 Bivolt</h1>

Modelo 2024Luminária de LED moderna, de design exclusivo e para vários tipos de ambiente.Modelo Redondo de 40cm de diâmetro com emissão de luz por toda borda mais saída de luz central.Bivolt (110V e 220V) e de regulagem de cor da luz, você tem a opção de ajustar a lâmpada nas cores: amarela (3000K), neutra (4000K) e branca (6000K). Sendo assim, consideramos ela uma luminária 3 em 1.Nossa luminária de LED é de sobrepor e pode ser instalada facilmente no teto do ambiente desejado. O produto já acompanha todos os acessórios necessários para a instalação como parafusos e buchas. Pode ser instalado em diversos ambientes tais como: salas, quartos, banheiros, corredores. Sugerimos o uso da nossa luminária em ambientes de 8 a 14 metros quadrados. Como toda luminária de LED, além de possuir boa iluminação traz ainda economia de energia elétrica.Para trocar a cor da temperatura da luz basta desligar e ligar rapidamente a luminária até atingir a cor desejada. O produto acompanha um manual de instalação com os detalhes. DIMENSÕES DA LUMINÁRIA: 40 X 40 X 6CMCaracterísticas do produto:Potência: 31WTensão: 85V - 265 V (Bivolt)Temperatura da cor ajustável: 3000K (amarelo) - 4500K (neutro) - 6000K (branco)Dimensões da luminária: 40x40x6m Material: Metal e acrílicoInclui:Luminária de sobrepor bivoltParafusos e buchas para instalaçãoManual de instruçãoGarantia do vendedor: 2 meses",,,none,,1,,,no,yes,,,,,no,,339,339,,,,,,,,,,,,,,,
3,simple,7889996879766,Plafon Painel Quadrado Sobrepor 24w Elgin Branco Frio 6500k Estrutura Branco-frio 110V/220V (Bivolt),1,0,visible,,"<h1>Plafon Painel Quadrado Sobrepor 24w Elgin Branco Frio 6500k Estrutura Branco-frio 110V/220V (Bivolt)</h1>

A combinação perfeita de iluminação e design. Esta luminária dará vida aos seus espaços para que você possa aproveitá-los ao máximo. Além disso, você pode personalizar seus cantinhos favoritos e dar-lhes detalhes diferenciados.Personalize com estiloGraças ao seu design especial, você pode instalar esta luminária em ambientes fechados e decorar todos os espaços da sua casa ou escritório de acordo com suas necessidades e gostos.",,,none,,1,,,no,yes,,,,,no,,31,31,,,,,,,,,,,,,,,
4,simple,6877897978678,Luminária Led Barra Spot Recarregável S/ Fio Cozinha Armário Estrutura Branco 110V/220V,1,0,visible,,"<h1>Luminária Led Barra Spot Recarregável S/ Fio Cozinha Armário Estrutura Branco 110V/220V</h1>

A combinação perfeita de iluminação e design. Esta luminária dará vida aos seus espaços para que você possa aproveitá-los ao máximo. Além disso, você pode personalizar seus cantinhos favoritos e dar-lhes detalhes diferenciados.Ilumine seus espaçosEste modelo é adequado para lâmpadas com tecnologia LED, que além de contribuir para o cuidado do meio ambiente, duram mais e permitem economizar até 90% mais do que as luzes convencionais.",,,none,,1,,,no,yes,,,,,no,,31,31,,,,,,,,,,,,,,,
5,simple,8899888768678,Painel Plafon Smart Quadrado Sobrepor Led 25w Grande 30cm Estrutura Branco 110V/220V,1,0,visible,,"<h1>Painel Plafon Smart Quadrado Sobrepor Led 25w Grande 30cm Estrutura Branco 110V/220V</h1>

A combinação perfeita de iluminação e design. Esta luminária dará vida aos seus espaços para que você possa aproveitá-los ao máximo. Além disso, você pode personalizar seus cantinhos favoritos e dar-lhes detalhes diferenciados.Ilumine seus espaçosEste modelo é adequado para lâmpadas com tecnologia LED, que além de contribuir para o cuidado do meio ambiente, duram mais e permitem economizar até 90% mais do que as luzes convencionais.",,,none,,1,,,no,yes,,,,,no,,26,26,,,,,,,,,,,,,,,
6,simple,8979868989867,Luminária Por Do Sol Luz Noturna Projetor Led Sunset Cor da estrutura Preto,1,0,visible,,"<h1>Luminária Por Do Sol Luz Noturna Projetor Led Sunset Cor da estrutura Preto</h1>

Luminária de Led Por do Sol, Arco-íris, Sol e Por do Sol Vermelho, com regulagem de altura!A luz da luminária é ótima para iluminação e um suporte único para fotografia, simulando o verdadeiro pôr do sol natural. Esta lâmpada de projeção do arco-íris e do pôr-do-sol também serve como uma lâmpada de decoração para o quarto, sala de estar, sala de jantar.Ideal para youtubers e pessoas ligadas a redes sociais, para se conseguir os melhores vídeos e fotos.A lâmpada pode ser girada em 360 graus, trazendo efeitos diferentes para o ambiente desejado. A superfície moderna das lâmpadas LED é deslumbrante e cristalina, com transmissão de luz super forte.Características:- Pôr do sol (Sunset) / pôr do sol vermelho (Sunset Red) / sol (Sun) / lâmpada de projeção do arco-íris (Rainbow).- Quanto maior a distância, maior a projeção, podendo ser projetada na parede ou no teto.- A luz emite uma luz circular colorida impressionante nas paredes, teto e chão.- O ângulo do suporte da lâmpada pode ser ajustado e girado em 360 graus.- Fonte de alimentação 5V 5W USB, cabo com interruptor, cabo USB de 1 metro de comprimento.Especificações:Tensão: DC5VComprimento do cabo USB: 120cmAplicação: o tampão da lâmpada pode ajustar o ângulo 180 grausAltura: 20cmDiâmetro da cabeça da luz: 8cmBase de diâmetro: 12cmTamanho do pacote: 20cmx10cmx10cmPeso da embalagem: 450gLista de Pakage:Lâmpada do projetor SunsetControle Remoto RgbUSB",,,none,,1,,,no,yes,,,,,no,,42,42,,,,,,,,,,,,,,,
7,simple,8988697767987,Kit 10 Painel Plafon Sobrepor Led 18w Quadrado 6500k Branco Frio - Cod: 399181377 Easy By Avant,1,0,visible,,"<h1>Kit 10 Painel Plafon Sobrepor Led 18w Quadrado 6500k Branco Frio - Cod: 399181377 Easy By Avant</h1>

Kit 10 Painel Plafon Sobrepor Led 18w Quadrado 6500k Branco Frio - EasyPainel Easy:Ideal para iluminação interna de ambientes residenciais, comerciais ou corporativos.- Propriedades:- Construção livre de mercúrio.- Painel com acabamento em policarbonato na cor branco.- Baixo consumo de energia.- Características de Funcionamento:- Tensão nominal: 100V a 240V (BIVOLT)- Fator de potência: >0,50.- Baixo consumo de energia.- Tipo de Instalação: Sobrepor.- Características:- Temperatura de Cor: 6500k | Branco Frio.- Não Dimerizável.- Ângulo de Abertura: 120°.- IRC**: 70.- Tipo de Uso: Interno.- Especificações Técnicas:- Cód. de Barras: 7899452031570.- Potência: 18W.- Tensão: 100V - 240V Bivolt.- Fluxo Luminoso: 840Im.- Eficiência Luminosa: 70 lm/W.- Peso: 129g.- Dimensões: C = 197mm | L = 197mm | A = 23mm.- Sobre o Produto:Descubra o Painel Easy - Ideal para iluminação interna de ambientes residenciais, comerciais ou corporativos.- Sobre a Marca:Conheça a EASY - uma marca inovadora que une tecnologia de ponta à economia, sem abrir mão da qualidade. Nossos produtos são projetados para simplificar sua vida, oferecendo o máximo em eficiência e economia. Com valores justos, a EASY torna a experiência tecnologia acessível a todos. Experimente a excelência em cada detalhe - escolha EASY.",,,none,,1,,,no,yes,,,,,no,,278,278,,,,,,,,,,,,,,,
8,simple,8966878777677,Lustre De Cristal Luminária Luxuoso Ambar Com 6 Braços 110v/220v,1,0,visible,,"<h1>Lustre De Cristal Luminária Luxuoso Ambar Com 6 Braços 110v/220v</h1>

Conteúdo: 01 unidade  Acompanha: Embalagem / Parafusos e Buchas / Lustre  * Não Acompanha Lâmpadas *  Características  · Material: Alumínio e Cristal K9  · Luzes: LED  · Cor: Ambar  · Uso: Interno  · Tensão: 127-220V  · Dimensões: (Diam. x Alt.) 58 x 110cm  · Peso: 3,600 Kg  Cuidados  · Para limpeza, utilize sabão ou detergente neutro e esponja macia. Nunca use solventes, objetos cortantes ou abrasivos.",,,none,,1,,,no,yes,,,,,no,,449,449,,,,,,,,,,,,,,,
9,simple,7976778779987,Luminaria Arandela Led Facho Duplo Ajustavel 5w Externo Estrutura Preto 110V/220V,1,0,visible,,"<h1>Luminaria Arandela Led Facho Duplo Ajustavel 5w Externo Estrutura Preto 110V/220V</h1>

Arandela LED Facho Duplo Ajustável Preta ou BrancaInformações TécnicasBivoltPotência: 5WTemperatura de cor: 3000KFluxo Luminoso do LED: 450 LúmensMaterial: PolicarbonatoAcabamento Externo: Preto ou BrancoDimensões: 12cm x 12cm x 5,3cmInformações ComplementaresIRC: 70Eficácia luminosa: 90lm/WÂngulo de abertura: ajustável de 0 a 120°Fonte de luz: SMDGrau de proteção: IP66Frequência: 50Hz/60HzTemperatura operacional: 45°CTemperatura ambiente: -20 ~ +50°CEvitar uso em temperaturas: >55°CPeso: 0,215kgSistema de fixação: Parafusado na paredeCorrente nominal : 68maFator potência: > 0,5Vida útil do LED: até 25.000 Horas",,,none,,1,,,no,yes,,,,,no,,33,33,,,,,,,,,,,,,,,
10,simple,6699666878788,Luminária De Mesa Flexível Escritório Leitura Touch 20 Leds,1,0,visible,,"<h1>Luminária De Mesa Flexível Escritório Leitura Touch 20 Leds</h1>

ENVIO IMEDIATO APOS A COMPRA, TODOS NOSSOS PRODUTOS SAO COM NOTA FISCAL.Luminária Touch De Mesa Usb 3 Cores 20 Leds Leitura EstudoCor da base: BrancoCor do abajur: BrancoLuminária com botão Touch recarregável com autonomia de até 6 horas, acompanha cabo para recarregar. A Luminária Touch de mesa conta com uma proteção que fica a frente dos leds para não prejudicar a vista e mantendo sua qualidade.Características:Material: plástico reforçado Leds: 20FlexívelBateria RecarregávelTouchTem 3 tipos de luz: natural, média, forteDimensões aproximadas:Altura: 30cmCircunferência: 9cmDiâmetro da base: 12cmAltura da base: 2,5cmConteúdo da Embalagem:1 Luminária bateria1 Cabo usbGarantia do vendedor: 3 meses",,,none,,1,,,no,yes,,,,,no,,39,39,,,,,,,,,,,,,,,
